1,Afghanistan,Afghanistan.png
2,Albania,Albania.png
3,Algeria,Algeria.png
4,American_Samoa,American_Samoa.png
5,Andorra,Andorra.png
6,Angola,Angola.png
7,Anguilla,Anguilla.png
8,Antigua_and_Barbuda,Antigua_and_Barbuda.png
9,Argentina,Argentina.png
10,Armenia,Armenia.png
11,Aruba,Aruba.png
12,Australia,Australia.png
13,Austria,Austria.png
14,Azerbaijan,Azerbaijan.png
15,Bahamas,Bahamas.png
16,Bahrain,Bahrain.png
17,Bangladesh,Bangladesh.png
18,Barbados,Barbados.png
19,Belarus,Belarus.png
20,Belgium,Belgium.png
21,Belize,Belize.png
22,Benin,Benin.png
23,Bermuda,Bermuda.png
24,Bhutan,Bhutan.png
25,Bolivia,Bolivia.png
26,Bosnia,Bosnia.png
27,Botswana,Botswana.png
28,Brazil,Brazil.png
29,British_Virgin_Islands,British_Virgin_Islands.png
30,Brunei,Brunei.png
31,Bulgaria,Bulgaria.png
32,Burkina_Faso,Burkina_Faso.png
33,Burundi,Burundi.png
34,Cambodia,Cambodia.png
35,Cameroon,Cameroon.png
36,Canada,Canada.png
37,Cape_Verde,Cape_Verde.png
38,Cayman_Islands,Cayman_Islands.png
39,Central_African_Republic,Central_African_Republic.png
40,Chad,Chad.png
41,Chile,Chile.png
42,China,China.png
43,Christmas_Island,Christmas_Island.png
44,Colombia,Colombia.png
45,Comoros,Comoros.png
46,Cook_Islands,Cook_Islands.png
47,Costa_Rica,Costa_Rica.png
48,Ivory_Coast,Ivory_Coast.png
49,Croatia,Croatia.png
50,Cuba,Cuba.png
51,Cyprus,Cyprus.png
52,Czech_Republic,Czech_Republic.png
53,Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo.png
54,Denmark,Denmark.png
55,Djibouti,Djibouti.png
56,Dominica,Dominica.png
57,Dominican_Republic,Dominican_Republic.png
58,Ecuador,Ecuador.png
59,Egypt,Egypt.png
60,El_Salvador,El_Salvador.png
61,Equatorial_Guinea,Equatorial_Guinea.png
62,Eritrea,Eritrea.png
63,Estonia,Estonia.png
64,Ethiopia,Ethiopia.png
65,Falkland_Islands,Falkland_Islands.png
66,Faroe_Islands,Faroe_Islands.png
67,Fiji,Fiji.png
68,Finland,Finland.png
69,France,France.png
70,French_Polynesia,French_Polynesia.png
71,Gabon,Gabon.png
72,Gambia,Gambia.png
73,Georgia,Georgia.png
74,Germany,Germany.png
75,Ghana,Ghana.png
76,Gibraltar,Gibraltar.png
77,Greece,Greece.png
78,Greenland,Greenland.png
79,Grenada,Grenada.png
80,Guam,Guam.png
81,Guatemala,Guatemala.png
82,Guinea,Guinea.png
83,Guinea_Bissau,Guinea_Bissau.png
84,Guyana,Guyana.png
85,Haiti,Haiti.png
86,Honduras,Honduras.png
87,Hong_Kong,Hong_Kong.png
88,Hungary,Hungary.png
89,Iceland,Iceland.png
90,India,India.png
91,Indonesia,Indonesia.png
92,Iran,Iran.png
93,Iraq,Iraq.png
94,Ireland,Ireland.png
95,Israel,Israel.png
96,Italy,Italy.png
97,Jamaica,Jamaica.png
98,Japan,Japan.png
99,Jordan,Jordan.png
100,Kazakhstan,Kazakhstan.png
101,Kenya,Kenya.png
102,Kiribati,Kiribati.png
103,Kuwait,Kuwait.png
104,Kyrgyztan,Kyrgyztan.png
105,Laos,Laos.png
106,Latvia,Latvia.png
107,Lebanon,Lebanon.png
108,Lesotho,Lesotho.png
109,Liberia,Liberia.png
110,Libya,Libya.png
111,Liechtenstein,Liechtenstein.png
112,Lithuania,Lithuania.png
113,Luxembourg,Luxembourg.png
114,Macao,Macao.png
115,Macedonia,Macedonia.png
116,Madagascar,Madagascar.png
117,Malawi,Malawi.png
118,Malaysia,Malaysia.png
119,Maldives,Maldives.png
120,Mali,Mali.png
121,Malta,Malta.png
122,Mexico,Mexico.png
123,Micronesia,Micronesia.png
124,Moldova,Moldova.png
125,Monaco,Monaco.png
126,Mongolia,Mongolia.png
127,Montserrat,Montserrat.png
128,Morocco,Morocco.png
129,Mozambique,Mozambique.png
130,Myanmar,Myanmar.png
131,Namibia,Namibia.png
132,Nauru,Nauru.png
133,Nepal,Nepal.png
134,Netherlands,Netherlands.png
